a,w_R,alpha_K,alpha_B_BelliniSawicki,RPH_alpha_B_EFTCAMB
3.166380497293913576e-02,-1.016174688945827631e+00,6.260209567553208022e-05,2.600314772200406090e-05,-1.300157386100203045e-05
3.216832378631138967e-02,-1.016305974626218411e+00,6.567874950598447472e-05,2.729095683013418907e-05,-1.364547841506709453e-05
3.267817354083098896e-02,-1.016436651079879239e+00,6.888953605870011185e-05,2.863539489219405778e-05,-1.431769744609702889e-05
3.319338225313418073e-02,-1.016566694311168417e+00,7.223957422615182792e-05,3.003864235345609724e-05,-1.501932117672804862e-05
3.371397793985717734e-02,-1.016696080224260390e+00,7.573415110050870931e-05,3.150295181126538767e-05,-1.575147590563269384e-05
3.423998861763619117e-02,-1.016824784624110745e+00,7.937872663176373576e-05,3.303065001024409637e-05,-1.651532500512204818e-05
3.477144230310744849e-02,-1.016952783217430989e+00,8.317893839124340845e-05,3.462413988128561736e-05,-1.731206994064280868e-05
3.530836701290715474e-02,-1.017080051613673541e+00,8.714060644231671571e-05,3.628590262499967542e-05,-1.814295131249983771e-05
3.585079076367155698e-02,-1.017206565326026491e+00,9.126973832014259602e-05,3.801849984027282396e-05,-1.900924992013641198e-05
3.639874157203687455e-02,-1.017332299772420345e+00,9.557253412230676661e-05,3.982457569860845128e-05,-1.991228784930422564e-05
3.695224745463931287e-02,-1.017457230276545666e+00,1.000553917122193185e-04,4.170685916491336420e-05,-2.085342958245668210e-05
3.751133642811509822e-02,-1.017581332068884459e+00,1.047249120371555241e-04,4.366816626539757746e-05,-2.183408313269878873e-05
3.807603650910044990e-02,-1.017704580287752680e+00,1.095879045628416832e-04,4.571140240325514357e-05,-2.285570120162757178e-05
3.864637571423157336e-02,-1.017826949980357609e+00,1.146513928264971717e-04,4.783956472279326150e-05,-2.391978236139663075e-05
3.922238206014472955e-02,-1.017948416103870324e+00,1.199226201102617862e-04,5.005574452267753271e-05,-2.502787226133876635e-05
3.980408356347611698e-02,-1.018068953526510612e+00,1.254090552369467896e-04,5.236312971895921373e-05,-2.618156485947960687e-05
4.039150824086195496e-02,-1.018188537028650531e+00,1.311183984900635927e-04,5.476500735855099216e-05,-2.738250367927549608e-05
4.098468410893846281e-02,-1.018307141303932628e+00,1.370585876600918004e-04,5.726476618381426886e-05,-2.863238309190713443e-05
4.158363918434184597e-02,-1.018424740960405250e+00,1.432378042189610902e-04,5.986589924892034655e-05,-2.993294962446017328e-05
4.218840148370836540e-02,-1.018541310521676291e+00,1.496644796247297525e-04,6.257200658864481453e-05,-3.128600329432240727e-05
4.279899902367421960e-02,-1.018656824428085805e+00,1.563473017584495665e-04,6.538679794025069911e-05,-3.269339897012534955e-05
4.341545982087563482e-02,-1.018771257037896616e+00,1.632952214952202645e-04,6.831409551911458739e-05,-3.415704775955729369e-05
4.403781189194882345e-02,-1.018884582628506896e+00,1.705174594114325555e-04,7.135783684874301349e-05,-3.567891842437150674e-05
4.466608325352999093e-02,-1.018996775397681631e+00,1.780235126302128011e-04,7.452207764582358389e-05,-3.726103882291179195e-05
4.530030192225539820e-02,-1.019107809464807390e+00,1.858231618070836546e-04,7.781099476095041300e-05,-3.890549738047520650e-05
4.594049591476124378e-02,-1.019217658872168863e+00,1.939264782578507210e-04,8.122888917565437297e-05,-4.061444458782718648e-05
4.658669324768375392e-02,-1.019326297586248709e+00,2.023438312307375452e-04,8.478018905636761852e-05,-4.239009452818380926e-05
4.723892193765914793e-02,-1.019433699499051826e+00,2.110858953247819671e-04,8.846945286593924367e-05,-4.423472643296962184e-05
4.789721000132361739e-02,-1.019539838429454504e+00,2.201636580565032226e-04,9.230137253331403455e-05,-4.615068626665701728e-05
4.856158545531343712e-02,-1.019644688124580201e+00,2.295884275768571379e-04,9.628077668197861214e-05,-4.814038834098930607e-05
4.923207631626480563e-02,-1.019748222261199766e+00,2.393718405404682780e-04,1.004126339177646216e-04,-5.020631695888231081e-05
4.990871060081393529e-02,-1.019850414447162734e+00,2.495258701291498920e-04,1.047020561765974736e-04,-5.235102808829873678e-05
5.059151632559705236e-02,-1.019951238222855494e+00,2.600628342316832226e-04,1.091543021327588805e-04,-5.457715106637944026e-05
