z,k_h_per_Mpc,P_k_Mpc_over_h_cubed
5.000000000000000000e-01,1.165243384482987643e-02,1.425000380788939765e+04
5.000000000000000000e-01,1.231529293352493469e-02,1.446389025776106791e+04
5.000000000000000000e-01,1.301585935249249641e-02,1.464742377923938875e+04
5.000000000000000000e-01,1.375627811683538711e-02,1.479714461261050383e+04
5.000000000000000000e-01,1.453881626275303762e-02,1.490962968610598546e+04
5.000000000000000000e-01,1.536586978882039690e-02,1.498145309981734681e+04
5.000000000000000000e-01,1.623997099212768844e-02,1.500935688112539901e+04
5.000000000000000000e-01,1.716379622174288994e-02,1.499027782750554616e+04
5.000000000000000000e-01,1.814017407323699135e-02,1.492149761853601922e+04
5.000000000000000000e-01,1.917209404936202552e-02,1.480077477446389821e+04
5.000000000000000000e-01,2.026271571339959346e-02,1.462651705393640805e+04
5.000000000000000000e-01,2.141537836320562410e-02,1.439792184709712819e+04
5.000000000000000000e-01,2.263361125557192613e-02,1.411519761956598813e+04
5.000000000000000000e-01,2.392114441220969528e-02,1.377970760343264374e+04
5.000000000000000000e-01,2.528192004044083410e-02,1.339417275659797087e+04
5.000000000000000000e-01,2.672010460356568848e-02,1.296278208219550652e+04
5.000000000000000000e-01,2.824010157786427389e-02,1.249129166052167056e+04
5.000000000000000000e-01,2.984656493529105892e-02,1.198701547012959418e+04
5.000000000000000000e-01,3.154441339314460746e-02,1.145872315858172624e+04
5.000000000000000000e-01,3.333884547434256412e-02,1.091641620468520159e+04
5.000000000000000000e-01,3.523535542441392360e-02,1.037099754398104051e+04
5.000000000000000000e-01,3.723975003394319055e-02,9.833752700104660107e+03
5.000000000000000000e-01,3.935816641797473814e-02,9.315731559874559025e+03
5.000000000000000000e-01,4.159709080681408405e-02,8.827039536346877867e+03
5.000000000000000000e-01,4.396337840576100553e-02,8.375977510781071032e+03
5.000000000000000000e-01,4.646427438458079762e-02,7.968236996820403874e+03
5.000000000000000000e-01,4.910743606098072478e-02,7.606084054384427873e+03
5.000000000000000000e-01,5.190095634601331331e-02,7.287588692529892796e+03
5.000000000000000000e-01,5.485338852319187469e-02,7.006078059258241410e+03
5.000000000000000000e-01,5.797377243718866702e-02,6.749960443867755203e+03
5.000000000000000000e-01,6.127166217230003986e-02,6.503532805539561195e+03
5.000000000000000000e-01,6.475715530542627829e-02,6.249777402788161453e+03
5.000000000000000000e-01,6.844092382313252121e-02,5.968569551992887682e+03
5.000000000000000000e-01,7.233424679745503738e-02,5.642609275810215877e+03
5.000000000000000000e-01,7.644904492049932332e-02,5.266576382783029658e+03
5.000000000000000000e-01,8.079791700357009943e-02,4.848102516253181420e+03
5.000000000000000000e-01,8.539417855258617240e-02,4.408423186446687396e+03
5.000000000000000000e-01,9.025190253789285022e-02,3.977742477956091534e+03
5.000000000000000000e-01,9.538596248330130645e-02,3.587054672460404163e+03
5.000000000000000000e-01,1.008120780062858463e-01,3.261935994451712759e+03
5.000000000000000000e-01,1.065468629487767438e-01,3.013760491105109850e+03
5.000000000000000000e-01,1.126078762459153809e-01,2.835262956695930825e+03
5.000000000000000000e-01,1.190136756885247088e-01,2.697901874762483658e+03
5.000000000000000000e-01,1.257838747439046223e-01,2.560229069314501885e+03
5.000000000000000000e-01,1.329392026089300516e-01,2.386099938056299379e+03
5.000000000000000000e-01,1.405015676793227308e-01,2.164974442417430510e+03
5.000000000000000000e-01,1.484941246294285144e-01,1.919880283588903922e+03
5.000000000000000000e-01,1.569413453078884191e-01,1.694127373387126454e+03
5.000000000000000000e-01,1.658690936662727267e-01,1.524336576635612346e+03
5.000000000000000000e-01,1.753047049500976728e-01,1.413351664198588878e+03
5.000000000000000000e-01,1.852770693946927394e-01,1.328483073420095479e+03
5.000000000000000000e-01,1.958167206821828654e-01,1.227944454287212920e+03
5.000000000000000000e-01,2.069559294304254005e-01,1.097259042714162433e+03
5.000000000000000000e-01,2.187288020001467159e-01,9.639591484770771785e+02
5.000000000000000000e-01,2.311713849228130280e-01,8.628343710948277021e+02
5.000000000000000000e-01,2.443217752689720579e-01,7.947655624481988070e+02
5.000000000000000000e-01,2.582202372949981006e-01,7.296861308133625243e+02
