t,a,R_cal,Rdot,H,W,F,Z,U,Omega_m_R,Omega_r_R,Omega_cal,closure_sum,q,G_unscreened_over_G
1.146822218130278,0.36684565967011323,30090.563580562968,-29111.403481750156,0.5828546229733776,6.646557820459875e-06,1.0000332325682186,2.2088365430358163e-12,6.626421542441392e-11,0.9937191767896647,0.005417641728040446,0.0008631814822949311,1.0000000000000002,0.49937559856480007,0.9999667685361483
1.1741021293805434,0.37253682724463816,29278.262365195762,-29364.11605015875,0.5695571034834848,6.830959819725587e-06,1.0000341545657885,2.333100602935271e-12,6.999206185233572e-11,0.9936918702368468,0.0053347309450526206,0.0009733988181008259,1.0000000000000002,0.4988655778479725,0.9999658466007061
1.2013820406308084,0.37831628641402737,28465.961149828556,-29616.828618567346,0.5565676186349061,7.025885891227892e-06,1.0000351291826408,2.4681536278277575e-12,7.404356838054274e-11,0.9936478771814643,0.0052530007978246075,0.0010991220207112102,1.0000000000000002,0.49828203142914873,0.9999648720513753
1.2286619518810749,0.38418540691579484,27653.659934461313,-29869.54118697595,0.5438795950358947,7.23226343353127e-06,1.0000361610556394,2.6152817185996762e-12,7.845731669771358e-11,0.9935847592516809,0.0051724232173631386,0.0012428175309558412,0.9999999999999998,0.49761149220365297,0.9999638402519353
1.2559418631313404,0.3901455797372779,26841.358719094096,-30122.253755384547,0.5314866915925981,7.4511321079772975e-06,1.000037255382943,2.7759684845265105e-12,8.327781349394455e-11,0.9934996286084492,0.005092968779897323,0.0014074026116534348,0.9999999999999999,0.4968376678250088,0.9999627460049688
1.2832217743816055,0.396198217445304,26029.05750372689,-30374.96632379314,0.5193828101471217,7.683661355740318e-06,1.0000384180115856,2.951932591484857e-12,8.855661685075138e-11,0.9933890529686406,0.005014606372406408,0.001596340658953425,1.0000000000000004,0.49594075451555497,0.9999615834643014
1.3105016856318719,0.4023447545209696,25216.756288359647,-30627.678892201744,0.5075621096157865,7.931171300492028e-06,1.000039655541985,3.1451739098874206e-12,9.435372060777493e-11,0.9932489374201477,0.004937302779566279,0.0018137598002863204,1.0000000000000004,0.49489655895322215,0.9999603460305146
1.3377815968821372,0.40858664769961334,24404.455072992438,-30880.39146061034,0.4960190245721244,8.19515782549745e-06,1.0000409754533244,3.3580305892406044e-12,1.0073926650854425e-10,0.9930743765100082,0.0048610221704557584,0.0020646013195359126,0.9999999999999999,0.4936695565691913,0.9999590262255946
1.3678097380654817,0.4149253763160648,23496.74214029301,-31013.612345371537,0.48474837624054407,8.511745860625675e-06,1.000042558367054,3.6224908797939155e-12,1.0867287637838584e-10,0.9928589418881748,0.004785722920604766,0.0023553351912203885,1.0,0.49215055861605705,0.9999574434440835
1.4031632471563535,0.4213624426552469,22404.1456607814,-30915.288856915126,0.4737462820712567,8.92683959746694e-06,1.000044633799545,3.9844232599451864e-12,1.195305637094412e-10,0.992590850280756,0.004711339928760004,0.0026978097904840014,1.0,0.490233762022104,0.9999553681925422
1.4385167562472254,0.42789937230822034,21311.54918126979,-30816.965368458717,0.46300904424560974,9.384494829536262e-06,1.000046922033804,4.4034371602796425e-12,1.3210063537802764e-10,0.9922576936782616,0.004637808596566616,0.003104497725171894,1.0,0.4878555097378765,0.99995308016777
1.4738702653380986,0.43453771453374945,20218.952701758142,-30718.641880002302,0.4525334924439471,9.891611332586115e-06,1.000049457567443,4.892198737747303e-12,1.4676305864307072e-10,0.9918440420648834,0.004565053890105316,0.0035909040450110606,0.9999999999999998,0.484892871694381,0.999950544878487
1.5092237744289707,0.4412790426254775,19126.356222246533,-30620.318391545894,0.44231737792802006,1.0456665469520094e-05,1.0000522827806384,5.467092637072694e-12,1.6400934907658647e-10,0.9913297334990325,0.004492983521723211,0.004177282979244355,1.0,0.48115963901033965,0.9999477199527078
