xi_completion,k_over_H0,a,z,zeta,constraint_relative_residual,Delta_0,dDelta_dln_a_0,Delta_1,dDelta_dln_a_1,Delta_2,dDelta_dln_a_2,Delta_3,dDelta_dln_a_3
1.0,1.0,0.001995262314968878,500.1872336272727,1.0316761484031653e-08,0.0,3.1022501701603825e-08,1.6918950295013885e-09,3.1022501701606306e-08,1.691895029507857e-09,4.1370628258575224e-08,2.2822612305479793e-09,4.137062829890674e-08,2.2822613750444407e-09
1.0,1.0,0.00251188643150958,397.10717055349727,1.0466061602525218e-08,1.4318382099449173e-24,3.149313088490756e-08,2.4403795208885625e-09,3.1493130884912067e-08,2.4403795209002204e-09,4.200758624626961e-08,3.3141256703912167e-09,4.200758633813844e-08,3.3141259981906086e-09
1.0,1.0,0.0031622776601683764,315.22776601683825,1.068208630112108e-08,0.0,3.2170812410754477e-08,3.5090437096951e-09,3.217081241076264e-08,3.509043709716057e-09,4.293270122484327e-08,4.8158967602759184e-09,4.2932701433456e-08,4.815897502031049e-09
1.0,1.0,0.003981071705534972,250.18864315095806,1.0993475202554374e-08,0.0,3.314387968227676e-08,5.032638200946692e-09,3.314387968229148e-08,5.032638200984289e-09,4.4279047941852364e-08,7.0213548542064966e-09,4.427904841431024e-08,7.021356529118534e-09
1.0,1.0,0.005011872336272717,198.5262314968882,1.1440868034677642e-08,0.0,3.4537828401824e-08,7.20250594269312e-09,3.453782840185046e-08,7.202505942760455e-09,4.6248465034337304e-08,1.0307434518103434e-08,4.6248466101959164e-08,1.0307438293459273e-08
1.0,1.0,0.00630957344480193,157.4893192461114,1.2081868466247902e-08,1.5334648181113338e-24,3.65309366285336e-08,1.0290509283807162e-08,3.653093662858111e-08,1.0290509283927593e-08,4.915638314187258e-08,1.53104512379808e-08,4.915638554987599e-08,1.5310459735323314e-08
1.0,1.0,0.007943282347242805,124.89254117941688,1.2998042437896011e-08,0.0,3.9376512354226564e-08,1.4683248464598092e-08,3.937651235431166e-08,1.4683248464813235e-08,5.3515366552547276e-08,2.316079517616769e-08,5.351537197524321e-08,2.3160814277903177e-08
1.0,1.0,0.009999999999999995,99.00000000000006,1.4304768232499943e-08,0.0,4.343461900077377e-08,2.093111509759461e-08,4.343461900092598e-08,2.0931115097978608e-08,6.019823095911566e-08,3.5971860482585376e-08,6.019824315464905e-08,3.5971903377814e-08
1.0,1.0,0.012589254117941654,78.43282347242827,1.6165083302183328e-08,0.0,4.921741853252595e-08,2.9818868889313703e-08,4.9217418532797896e-08,2.981886888999856e-08,7.076919094789995e-08,5.788211302761156e-08,7.076921834462716e-08,5.7882209266659656e-08
1.0,1.0,0.015848931924611127,62.09573444801936,1.8809124293005746e-08,0.0,5.745416510885238e-08,4.2467643771387395e-08,5.745416510933781e-08,4.2467643772608075e-08,8.817664640204045e-08,9.731169302756337e-08,8.81767078883198e-08,9.731190877492003e-08
1.0,1.0,0.019952623149688764,49.11872336272731,2.256135490804379e-08,0.0,6.918463650859405e-08,6.048309427859154e-08,6.918463650945987e-08,6.048309428076623e-08,1.1823355382017645e-07,1.71898406348981e-07,1.1823369169538487e-07,1.7189888964795238e-07
1.0,1.0,0.025118864315095784,38.810717055349755,2.78786409622976e-08,0.0,8.589405476974836e-08,8.617200123029976e-08,8.589405477129176e-08,8.617200123417256e-08,1.7282780974658645e-07,3.193657409820157e-07,1.728281186712581e-07,3.193668228407224e-07
1.0,1.0,0.0316227766016838,30.62277660168379,3.54033557497214e-08,0.0,1.0970886648419541e-07,1.2286128689758e-07,1.0970886648694521e-07,1.2286128690447444e-07,2.769499577887101e-07,6.215378996827709e-07,2.76950649444304e-07,6.215403195935548e-07
1.0,1.0,0.03981071705534969,24.11886431509582,4.603726122387222e-08,0.0,1.436825694630098e-07,1.7537193404853535e-07,1.4368256946790696e-07,1.7537193406080533e-07,4.841648863849089e-07,1.257490994992736e-06,4.841664337446868e-07,1.257496403415595e-06
1.0,1.0,0.05011872336272723,18.952623149688797,6.104401917722197e-08,0.0,1.9221598834689484e-07,2.5072980970141265e-07,1.9221598835561285e-07,2.507298097232426e-07,9.107744369948419e-07,2.6211902425197445e-06,9.107778958161007e-07,2.6212023186030952e-06
1.0,1.0,0.06309573444801926,14.84893192461115,8.21910743103299e-08,0.0,2.616803048271569e-07,3.5924267304358513e-07,2.6168030484267146e-07,3.592426730824093e-07,1.8113196240407903e-06,5.581475882662014e-06,1.8113273480905963e-06,5.581502814901781e-06
1.0,1.0,0.07943282347242814,11.589254117941675,1.1194566676120376e-07,0.0,3.613489069844578e-07,5.161479323215016e-07,3.61348907012057e-07,5.161479323905166e-07,3.7453007927447083e-06,1.2054896184269586e-05,3.745318021397876e-06,1.2054956158787053e-05
