xi_completion,a,z,E,H_km_s_Mpc,Omega_m,Omega_r,Omega_R,Q_tensor,c_T,dL_GW_over_dL_EM,gamma_PPN,beta_PPN,alpha1_PPN,alpha2_PPN,Cassini_minus_2loglike
1.0,2.8400980479142136e-06,352099.5201684521,1196148263.997579,80572547062.87692,0.009572917131691974,0.9904270828683057,2.0509448984250665e-15,1.9999999999999991,1.0,0.9316924531362333,1.0,1.0,0.0,0.0,0.8336483931947068
1.0,3.0199517204020193e-06,331130.12148259074,1058237823.6965082,71282899804.1968,0.010172970096047996,0.9898270299039496,2.4950357186920812e-15,1.9999999999999991,1.0,0.9316924531362333,1.0,1.0,0.0,0.0,0.8336483931947068
1.0,3.2111949093648238e-06,311409.5584446758,936245605.3327994,63065503975.21737,0.010810225259637119,0.9891897747403599,3.035193252031815e-15,1.9999999999999987,1.0,0.9316924531362334,1.0,1.0,0.0,0.0,0.8336483931947068
1.0,3.414548873833601e-06,292863.4564625237,828333186.6407032,55796523452.11777,0.011486936100368321,0.9885130638996281,3.692171938064168e-15,1.9999999999999987,1.0,0.9316924531362334,1.0,1.0,0.0,0.0,0.8336483931947068
1.0,3.6307805477010175e-06,275421.87033381633,732874531.7725825,49366428460.20116,0.012205485766679373,0.9877945142333159,4.491202198767162e-15,1.9999999999999982,1.0,0.9316924531362335,1.0,1.0,0.0,0.0,0.8336483931947068
1.0,3.860705432153815e-06,259019.02045313228,648431451.2387052,43678342555.43918,0.012968393654597456,0.9870316063453973,5.462953464420007e-15,1.9999999999999978,1.0,0.9316924531362336,1.0,1.0,0.0,0.0,0.8336483931947068
1.0,4.105190671273079e-06,243593.0447292027,573731897.540401,38646580618.32141,0.013778322201189398,0.9862216777988039,6.644703737036812e-15,1.9999999999999973,1.0,0.9316924531362337,1.0,1.0,0.0,0.0,0.8336483931947068
1.0,4.365158322401665e-06,229085.76527677703,507650768.808413,34195355786.9347,0.014638083884566735,0.985361916115425,8.081759795724482e-15,1.999999999999997,1.0,0.9316924531362338,1.0,1.0,0.0,0.0,0.8336483931947068
1.0,4.641588833612782e-06,215442.46900318822,449192930.62612116,30257635806.97552,0.015550648417410273,0.9844493515825801,9.82918151159499e-15,1.9999999999999962,1.0,0.931692453136234,1.0,1.0,0.0,0.0,0.8336483931947068
1.0,4.935524741394807e-06,202611.70126211434,397478199.7091806,26774131532.410404,0.016519150117331304,0.9834808498826563,1.1953875075111458e-14,1.9999999999999956,1.0,0.9316924531362341,1.0,1.0,0.0,0.0,0.8336483931947068
1.0,5.248074602497734e-06,190545.07179632442,351728062.7346065,23692402305.803093,0.01754689543324758,0.982453104566738,1.453713365693194e-14,1.9999999999999944,1.0,0.9316924531362344,1.0,1.0,0.0,0.0,0.8336483931947068
1.0,5.58041717476997e-06,179197.0722375332,311253929.81062603,20966064712.04377,0.01863737060227787,0.9813626293977044,1.7677720619674163e-14,1.9999999999999933,1.0,0.9316924531362346,1.0,1.0,0.0,0.0,0.8336483931947068
1.0,5.933805862753281e-06,168524.9044750751,275446745.2494296,18554092760.001575,0.019794249406401794,0.9802057505935766,2.1495610469112594e-14,1.9999999999999918,1.0,0.931692453136235,1.0,1.0,0.0,0.0,0.8336483931947068
1.0,6.309573444801943e-06,158488.3192461111,243767798.7981512,16420198927.043465,0.0210214009922407,0.9789785990077332,2.6136526997286612e-14,1.9999999999999898,1.0,0.9316924531362355,1.0,1.0,0.0,0.0,0.8336483931947068
1.0,6.709137099554105e-06,149049.46433861976,215740598.60828233,14532286722.253897,0.02232289771074763,0.9776771022892206,3.177744739083347e-14,1.9999999999999878,1.0,0.9316924531362359,1.0,1.0,0.0,0.0,0.8336483931947068
1.0,7.134003750712565e-06,140172.74183467694,190943683.25411522,12861966503.997202,0.02370302292629869,0.9762969770736624,3.8633276494251415e-14,1.9999999999999851,1.0,0.9316924531362365,1.0,1.0,0.0,0.0,0.8336483931947068
