a,z,k_over_H0,xi_completion,mu_zeta,mu_zeta_relative,constraint_determinant,Q_tensor,matter_kinetic_positive,matter_kinetic_negative,matter_kinetic_null,root_at_this_a,root_k_over_H0
1.399050314137293e-07,7147704.7679418605,5.623413251903491,1.0,8.666626781934313e+24,1.5000892727565127,-1.9261462198153952e+24,2.0,4,0,0,0,
1.399050314137293e-07,7147704.7679418605,7.498942093324558,1.0,8.666626802051903e+24,1.500089276238316,-1.9261462198153952e+24,2.0,4,0,0,0,
1.399050314137293e-07,7147704.7679418605,10.0,1.0,8.666626837826599e+24,1.5000892824299343,-1.9261462198153952e+24,2.0,4,0,0,0,
1.399050314137293e-07,7147704.7679418605,13.33521432163324,1.0,8.666626901444002e+24,1.5000892934403622,-1.9261462198153952e+24,2.0,4,0,0,0,
1.399050314137293e-07,7147704.7679418605,17.78279410038923,1.0,8.66662701457352e+24,1.5000893130199797,-1.9261462198153952e+24,2.0,4,0,0,0,
1.399050314137293e-07,7147704.7679418605,23.71373705661655,1.0,8.66662721574942e+24,1.50008934783801,-1.9261462198153952e+24,2.0,4,0,0,0,
1.399050314137293e-07,7147704.7679418605,31.622776601683793,1.0,8.666627573496374e+24,1.5000894097541972,-1.9261462198153952e+24,2.0,4,0,0,0,
1.399050314137293e-07,7147704.7679418605,42.169650342858226,1.0,8.666628209670444e+24,1.5000895198584803,-1.9261462198153952e+24,2.0,4,0,0,0,
1.399050314137293e-07,7147704.7679418605,56.23413251903491,1.0,8.666629340965731e+24,1.5000897156546673,-1.9261462198153952e+24,2.0,4,0,0,0,
1.399050314137293e-07,7147704.7679418605,74.98942093324558,1.0,8.666631352724976e+24,1.5000900638350192,-1.9261462198153952e+24,2.0,4,0,0,0,
1.399050314137293e-07,7147704.7679418605,100.0,1.0,8.666634930195462e+24,1.5000906829970444,-1.9261462198153952e+24,2.0,4,0,0,0,
1.399050314137293e-07,7147704.7679418605,133.3521432163324,1.0,8.666641291938933e+24,1.5000917840403625,-1.9261462198153952e+24,2.0,4,0,0,0,
1.399050314137293e-07,7147704.7679418605,177.82794100389228,1.0,8.666652604900681e+24,1.500093742003773,-1.9261462198153952e+24,2.0,4,0,0,0,
1.399050314137293e-07,7147704.7679418605,237.13737056616552,1.0,8.666672722521307e+24,1.5000972238121573,-1.9261462198153952e+24,2.0,4,0,0,0,
1.399050314137293e-07,7147704.7679418605,316.22776601683796,1.0,8.666708497315098e+24,1.500103415447801,-1.9261462198153952e+24,2.0,4,0,0,0,
1.399050314137293e-07,7147704.7679418605,421.6965034285823,1.0,8.66677211503108e+24,1.5001144259296464,-1.9261462198153952e+24,2.0,4,0,0,0,
1.399050314137293e-07,7147704.7679418605,562.341325190349,1.0,8.666885245538104e+24,1.5001340057176427,-1.9261462198153952e+24,2.0,4,0,0,0,
1.399050314137293e-07,7147704.7679418605,749.8942093324558,1.0,8.667086424557281e+24,1.5001688242881437,-1.9261462198153952e+24,2.0,4,0,0,0,
1.399050314137293e-07,7147704.7679418605,1000.0,1.0,8.667444181390486e+24,1.5002307421835166,-1.9261462198153952e+24,2.0,4,0,0,0,
1.399050314137293e-07,7147704.7679418605,1333.521432163324,1.0,8.668080386679734e+24,1.5003408518685097,-1.9261462198153952e+24,2.0,4,0,0,0,
1.399050314137293e-07,7147704.7679418605,1778.2794100389228,1.0,8.669211780702838e+24,1.5005366651378267,-1.9261462198153952e+24,2.0,4,0,0,0,
1.399050314137293e-07,7147704.7679418605,2371.373705661655,1.0,8.67122385218838e+24,1.50088489950824,-1.9261462198153952e+24,2.0,4,0,0,0,
1.399050314137293e-07,7147704.7679418605,3162.2776601683795,1.0,8.674802310049408e+24,1.501504232355491,-1.9261462198153952e+24,2.0,4,0,0,0,
1.399050314137293e-07,7147704.7679418605,4216.965034285822,1.0,8.681167175879562e+24,1.5026058158594118,-1.9261462198153952e+24,2.0,4,0,0,0,
1.399050314137293e-07,7147704.7679418605,5623.413251903491,1.0,8.692490011400538e+24,1.504565487487397,-1.9261462198153952e+24,2.0,4,0,0,0,
1.399050314137293e-07,7147704.7679418605,7498.942093324558,1.0,8.712638855632647e+24,1.5080526977293756,-1.9261462198153952e+24,2.0,4,0,0,0,
1.399050314137293e-07,7147704.7679418605,10000.0,1.0,8.748512387142327e+24,1.514261415538311,-1.9261462198153952e+24,2.0,4,0,0,0,
1.399050314137293e-07,7147704.7679418605,13335.21432163324,1.0,8.812442339210391e+24,1.5253259158901322,-1.9261462198153952e+24,2.0,4,0,0,0,
1.399050314137293e-07,7147704.7679418605,17782.794100389227,1.0,8.926560223414151e+24,1.5450765251637748,-1.9261462198153952e+24,2.0,4,0,0,0,
1.399050314137293e-07,7147704.7679418605,23713.737056616552,1.0,9.130861603401052e+24,1.5804352786265348,-1.9261462198153952e+24,2.0,4,0,0,0,
1.399050314137293e-07,7147704.7679418605,31622.776601683792,1.0,9.498492208437805e+24,1.6440613749395052,-1.9261462198153952e+24,2.0,4,0,0,0,
1.399050314137293e-07,7147704.7679418605,42169.65034285822,1.0,1.0165921105776227e+25,1.7595728230138439,-1.9261462198153952e+24,2.0,4,0,0,0,
1.399050314137293e-07,7147704.7679418605,56234.13251903491,1.0,1.139605284721326e+25,1.9724677275579516,-1.9261462198153952e+24,2.0,4,0,0,0,
1.399050314137293e-07,7147704.7679418605,74989.42093324558,1.0,1.3720360413660199e+25,1.727422113462209,-1.9261462198153952e+24,2.0,4,0,0,0,
1.399050314137293e-07,7147704.7679418605,100000.0,1.0,1.8286195458021836e+25,1.461924703159397,-1.9261462198153952e+24,2.0,4,0,0,0,
1.399050314137293e-07,7147704.7679418605,133352.1432163324,1.0,2.7773422097185665e+25,1.2627066450221769,-1.9261462198153952e+24,2.0,4,0,0,0,
1.399050314137293e-07,7147704.7679418605,177827.94100389228,1.0,4.89700294514971e+25,1.1337994901292043,-1.9261462198153952e+24,2.0,4,0,0,0,
1.399050314137293e-07,7147704.7679418605,237137.37056616554,1.0,1.0034248177376274e+26,1.0611251990167996,-1.9261462198153952e+24,2.0,4,0,0,0,
1.399050314137293e-07,7147704.7679418605,316227.7660168379,1.0,2.349537316167899e+26,1.0252311959586757,-1.9261462198153952e+24,2.0,4,0,0,0,
1.399050314137293e-07,7147704.7679418605,421696.5034285823,1.0,6.1111976458639095e+26,1.0095584542982274,-1.9261462198153952e+24,2.0,4,0,0,0,
1.399050314137293e-07,7147704.7679418605,562341.3251903491,1.0,1.7126148321236147e+27,1.0033939007249608,-1.9261462198153952e+24,2.0,4,0,0,0,
1.399050314137293e-07,7147704.7679418605,749894.2093324559,1.0,5.039277021125893e+27,1.001153230228325,-1.9261462198153952e+24,2.0,4,0,0,0,
1.399050314137293e-07,7147704.7679418605,1000000.0,1.0,1.5280679459497255e+28,1.0003814134437057,-1.9261462198153952e+24,2.0,4,0,0,0,
1.9573417814876615e-07,5108968.774506925,0.0001,1.0,2.2624480710840684e+24,1.5001248878430549,-5.02849922383429e+23,2.0,3,0,1,0,
1.9573417814876615e-07,5108968.774506925,0.0001333521432163324,1.0,2.2624480710840684e+24,1.5001248878430549,-5.02849922383429e+23,2.0,3,0,1,0,
1.9573417814876615e-07,5108968.774506925,0.00017782794100389227,1.0,2.262448071084069e+24,1.5001248878430546,-5.02849922383429e+23,2.0,3,0,1,0,
1.9573417814876615e-07,5108968.774506925,0.00023713737056616554,1.0,2.262448071084069e+24,1.5001248878430546,-5.02849922383429e+23,2.0,3,0,1,0,
1.9573417814876615e-07,5108968.774506925,0.00031622776601683794,1.0,2.2624480710840684e+24,1.5001248878430549,-5.02849922383429e+23,2.0,3,0,1,0,
1.9573417814876615e-07,5108968.774506925,0.00042169650342858224,1.0,2.262448071084069e+24,1.5001248878430546,-5.02849922383429e+23,2.0,3,0,1,0,
1.9573417814876615e-07,5108968.774506925,0.0005623413251903491,1.0,2.2624480710840684e+24,1.5001248878430549,-5.02849922383429e+23,2.0,3,0,1,0,
1.9573417814876615e-07,5108968.774506925,0.0007498942093324559,1.0,2.2624480710840687e+24,1.500124887843055,-5.02849922383429e+23,2.0,3,0,1,0,
1.9573417814876615e-07,5108968.774506925,0.001,1.0,2.2624480710840692e+24,1.5001248878430549,-5.02849922383429e+23,2.0,3,0,1,0,
