a,z,E,dE_dln_a,d2E_dln_a2,Hdot_over_H0_sq,Hddot_over_H0_cu,background_denominator,Q,Q_X,Q_XX,V,V_X,V_XX,Omega,c_hat,Lambda_hat,M2_4_hat,M1_3_hat,M2_bar_hat,M3_bar_hat,Mhat2_hat,m2_sq_hat,m5_bar_hat,deltaR_deltaK_coefficient_hat,F_hat,Fdot_hat
0.0003868120546330521,2584.234839562191,95935.55305370988,-164855.68792006563,295088.428105832,-15815521594.661295,5323163502118009.0,191871.10582039825,0.999999997123254,4.797797524742949e-14,-1.3002764009029994e-18,20191137469.101418,210465.64157473296,1.104670461542246e-08,-2.8767459525624872e-09,-23.314230171830946,44.67105630422461,11.657115085915473,0.0007587967035938462,9.205587179518686e-10,0.0,0.0,0.0,-1.599265841580983e-14,-7.996329207904915e-15,121715.89213878258,-31631043142.005463
0.0004731512589614803,2112.4890398366474,68028.80840001066,-115241.56184626133,203297.59202523643,-7839746130.557291,1844309331065740.5,136057.6164472555,0.9999999950139082,1.1727012475473869e-13,-4.481958916132842e-18,14317726556.427353,210465.64117015013,1.9146592435165144e-08,-4.986091761693956e-09,-20.441774139806174,35.98588905331499,10.220887069903087,0.0009193680067759334,1.5955493695970909e-09,0.0,0.0,0.0,-3.9090041584912896e-14,-1.9545020792456448e-14,65902.4029409588,-15679492220.461302
0.0005787619883491203,1726.8259805078644,48472.59423557155,-80982.9040693404,140747.06237622467,-3925451448.971353,648592685066063.4,96945.188038824,0.9999999914241964,2.830730653410463e-13,-1.5183630698821043e-17,10201815407.803188,210465.64068058837,3.293108600471037e-08,-8.57580362279009e-09,-17.90578652106701,29.056865846430057,8.952893260533505,0.0011111895745077728,2.744257167059191e-09,0.0,0.0,0.0,-9.435768844701543e-14,-4.7178844223507715e-14,26789.9747446704,-7850902862.932249
0.0007079457843841374,1411.5375446227554,34695.98505170176,-57207.34656245629,97951.04794795805,-1984865241.1785057,231463459807988.38,69391.96957503777,0.9999999853572686,6.752472994498385e-13,-5.060075325584305e-17,7302312533.223093,210465.64008952852,5.622808849899265e-08,-1.4642731360758887e-08,-15.673622778927358,23.549211415531545,7.836811389463679,0.0013402748938776384,4.685674041582714e-09,0.0,0.0,0.0,-2.2508243314994617e-13,-1.1254121657497309e-13,-763.2434629902418,-3969730452.130609
0.0008659643233600645,1153.7819846894593,24940.391834978436,-40619.13903832855,68537.31688712079,-1013057243.6153831,83781310424117.95,49880.7830258466,0.9999999751673188,1.5930900500927063e-12,-1.6607734784791592e-16,5249095365.581468,210465.63937725042,9.535749618652213e-08,-2.4832681244646437e-08,-13.715109714039254,19.179820329543134,6.857554857019627,0.0016138914149780097,7.946458015543496e-09,0.0,0.0,0.0,-5.310300166975687e-13,-2.6551500834878436e-13,-20274.42970352799,-2026114461.0675616
0.0010592537251772876,943.0608762859246,17997.447565310555,-28982.271260966907,48219.48932189588,-521606907.3428589,30736036959144.195,35994.89434723541,0.9999999581465384,3.7208353211843365e-12,-5.375302136579576e-16,3787844163.422202,210465.63852016593,1.6071729262120972e-07,-4.185346158536163e-08,-12.001681234978458,15.713655964311158,6.000840617489229,0.0019408134046150348,1.3393107718434073e-08,0.0,0.0,0.0,-1.2402784403947789e-12,-6.201392201973894e-13,-34160.31801073639,-1043213791.981421
0.0012956866975170189,770.7915155850128,13032.702427680539,-20774.169154799536,34108.88723418237,-270743564.77680206,11417912561400.27,26065.40390457787,0.9999999298522599,8.611904144499492e-12,-1.718058929063083e-15,2742935910.2785406,210465.63749002162,2.693673217223301e-07,-7.014774006108837e-08,-10.506162526981575,12.959013248609978,5.253081263490787,0.0023316176275979083,2.2447276810194106e-08,0.0,0.0,0.0,-2.870634714833164e-12,-1.435317357416582e-12,-44089.808006998646,-541487109.801873
0.0015848931924611108,629.9573444801943,9466.818839362604,-14953.595066744907,24253.86842116066,-141562975.4940604,4290523081664.962,18933.63652691811,0.999999883011723,1.9772348687122616e-11,-5.430346503808251e-15,1992439949.6659756,210465.63625294468,4.492349833192774e-07,-1.1698827695472147e-07,-9.202927783879204,10.762026519519296,4.601463891939602,0.002799032512655156,3.743624860993974e-08,0.0,0.0,0.0,-6.590782895707539e-12,-3.2953914478537694e-12,-51221.57484859241,-283125933.76446384
0.0019386526359522057,514.8221650723061,6895.314706642992,-10804.985422706306,17331.56879810678,-74503774.89024994,1629047964484.3943,13790.628020226266,0.9999998057404839,4.5076292969480835e-11,-1.6996811125638756e-14,1451226697.9939063,210465.63476830503,7.459565420001836e-07,-1.9425951613971648e-07,-8.068192150745727,9.000868320643104,4.034096075372863,0.003358353984285156,6.216304516668174e-08,0.0,0.0,0.0,-1.5025430989826946e-11,-7.512715494913473e-12,-56364.58271194123,-149007534.72850993
0.0023713737056616554,420.6965034285822,5034.172955773294,-7833.927468300302,12441.706452670482,-39437345.79840693,624258195998.9279,10068.344229084409,0.9999996786459046,1.021352577968529e-10,-5.2749810664982674e-14,1059520319.5218406,210465.63298735727,1.233999726316444e-06,-3.2135409544498117e-07,-7.0802750085861055,7.580131646684489,3.5401375042930527,0.004027943479943926,1.0283331052636977e-07,0.0,0.0,0.0,-3.40450859322843e-11,-1.702254296614215e-11,-60086.86573134001,-78874678.41652717
0.00290068119869315,343.7466065731498,3682.833931975647,-5696.840718418129,8968.667966254676,-20980518.302850805,241167098194.97968,7365.66583443329,0.9999994701201153,2.3020527974566568e-10,-1.6251987963455328e-13,775109897.8207428,210465.63085161796,2.0347387573614815e-06,-5.298798847475084e-07,-6.219752690217308,6.425708482984032,3.109876345108654,0.004829826085116828,1.695615631134568e-07,0.0,0.0,0.0,-7.673509324855523e-11,-3.8367546624277613e-11,-62789.54320050521,-41961025.04386081
0.0035481338923357532,280.8382931264455,2698.896353508413,-4153.539800836356,6489.222380199541,-11209973.422629302,93828836072.39656,5397.7902613884435,0.9999991286935678,5.165408778078497e-10,-4.976131375162208e-13,568024855.8055663,210465.6282909254,3.3458166997287443e-06,-8.713064322263264e-07,-5.469481485699205,5.48034764169341,2.7347407428496027,0.005790409511927605,2.788180583107276e-07,0.0,0.0,0.0,-1.7218029260261657e-10,-8.609014630130828e-11,-64757.41766391795,-22419936.68724378
