a,z,k_over_H0,constraint_discriminant,constraint_block_determinant,constraint_relative_error,kinetic_positive,kinetic_negative,kinetic_null,normalized_null_residual,m5_bar_hat
7.498942093324558e-07,1333520.432163324,100.0,3.6973689373191486e+45,-1.1692107191884796e+21,4.147810074274731e-15,4,0,1,1.9283917909182661e-16,-3.4902196511455666e-28
1.4677992676220705e-06,681291.0690579609,0.01,1.7203488681528176e+43,-7.9851520963365e+19,2.8725313836568565e-15,4,0,1,2.825754286500125e-17,-1.1432605917869722e-26
1.4677992676220705e-06,681291.0690579609,0.01778279410038923,1.7203488681528176e+43,-7.9851520963365e+19,2.8725313836568565e-15,4,0,1,1.7601277913537284e-16,-1.1432605917869722e-26
1.4677992676220705e-06,681291.0690579609,0.03162277660168379,1.7203488681528176e+43,-7.9851520963365e+19,2.8725313836568565e-15,4,0,1,7.28760577360774e-18,-1.1432605917869722e-26
1.4677992676220705e-06,681291.0690579609,0.05623413251903491,1.7203488681528176e+43,-7.9851520963365e+19,2.8725313836568565e-15,4,0,1,2.246243301588242e-17,-1.1432605917869722e-26
1.4677992676220705e-06,681291.0690579609,0.1,1.7203488681528176e+43,-7.9851520963365e+19,2.8725313836568565e-15,4,0,1,1.6829586872445397e-16,-1.1432605917869722e-26
1.4677992676220705e-06,681291.0690579609,0.1778279410038923,1.7203488681528176e+43,-7.9851520963365e+19,2.8725313836568565e-15,4,0,1,9.743703113697848e-17,-1.1432605917869722e-26
1.4677992676220705e-06,681291.0690579609,0.31622776601683794,1.7203488681528176e+43,-7.9851520963365e+19,2.8725313836568565e-15,4,0,1,3.53249791001394e-18,-1.1432605917869722e-26
1.4677992676220705e-06,681291.0690579609,0.5623413251903491,1.7203488681528176e+43,-7.9851520963365e+19,2.8725313836568565e-15,4,0,1,1.1188259106058978e-17,-1.1432605917869722e-26
1.4677992676220705e-06,681291.0690579609,1.0,1.7203488681528176e+43,-7.9851520963365e+19,2.8725313836568565e-15,4,0,1,9.180173006114821e-17,-1.1432605917869722e-26
1.4677992676220705e-06,681291.0690579609,1.7782794100389228,1.7203488681528176e+43,-7.9851520963365e+19,2.8725313836568565e-15,4,0,1,2.0341004134853593e-16,-1.1432605917869722e-26
1.4677992676220705e-06,681291.0690579609,3.1622776601683795,1.7203488681528176e+43,-7.9851520963365e+19,2.8725313836568565e-15,4,0,1,2.099060381112603e-17,-1.1432605917869722e-26
1.4677992676220705e-06,681291.0690579609,5.623413251903491,1.7203488681528176e+43,-7.9851520963365e+19,2.8725313836568565e-15,4,0,1,9.443532323908094e-17,-1.1432605917869722e-26
1.4677992676220705e-06,681291.0690579609,10.0,1.7203488681528176e+43,-7.9851520963365e+19,2.8725313836568565e-15,4,0,1,2.2748501464505404e-16,-1.1432605917869722e-26
1.4677992676220705e-06,681291.0690579609,17.78279410038923,1.7203488681528176e+43,-7.9851520963365e+19,2.8725313836568565e-15,4,0,1,4.860540890729825e-18,-1.1432605917869722e-26
1.4677992676220705e-06,681291.0690579609,31.622776601683793,1.7203488681528176e+43,-7.9851520963365e+19,2.8725313836568565e-15,4,0,1,2.3683961232064014e-16,-1.1432605917869722e-26
1.4677992676220705e-06,681291.0690579609,56.23413251903491,1.7203488681528176e+43,-7.9851520963365e+19,2.8725313836568565e-15,4,0,1,3.472762864668335e-16,-1.1432605917869722e-26
1.4677992676220705e-06,681291.0690579609,100.0,1.7203488681528176e+43,-7.9851520963365e+19,2.8725313836568565e-15,4,0,1,1.0329825942679267e-16,-1.1432605917869722e-26
2.8729848333536687e-06,348069.0588428406,0.01,8.023148398500367e+40,-5.466107372773414e+18,0.0,4,0,1,3.276632997570941e-16,-3.73363430451624e-25
2.8729848333536687e-06,348069.0588428406,0.01778279410038923,8.023148398500367e+40,-5.466107372773414e+18,0.0,4,0,1,2.2537253889319054e-17,-3.73363430451624e-25
2.8729848333536687e-06,348069.0588428406,0.03162277660168379,8.023148398500367e+40,-5.466107372773414e+18,0.0,4,0,1,1.773754436343059e-16,-3.73363430451624e-25
