#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.130053E-01   0.141927E+08   0.141755E+08  -0.601682E+03   0.345427E+04   0.000000E+00   0.141899E+08   0.141899E+08   0.141899E+08  -0.349104E+00   0.742389E+07   0.742339E+07   0.129283E+02
   0.143597E-01   0.136391E+08   0.136192E+08  -0.675344E+03   0.267143E+04   0.000000E+00   0.136359E+08   0.136359E+08   0.136359E+08  -0.335464E+00   0.713395E+07   0.713344E+07   0.118893E+02
   0.158552E-01   0.130489E+08   0.130260E+08  -0.670400E+03   0.205326E+04   0.000000E+00   0.130452E+08   0.130452E+08   0.130452E+08  -0.320926E+00   0.682489E+07   0.682437E+07   0.109653E+02
   0.175064E-01   0.124224E+08   0.123961E+08  -0.392486E+03   0.170158E+04   0.000000E+00   0.124182E+08   0.124182E+08   0.124182E+08  -0.305494E+00   0.649676E+07   0.649623E+07   0.101310E+02
   0.193295E-01   0.117605E+08   0.117306E+08  -0.417034E+03   0.132546E+04   0.000000E+00   0.117557E+08   0.117557E+08   0.117557E+08  -0.289193E+00   0.615017E+07   0.614963E+07   0.936961E+01
   0.213425E-01   0.110660E+08   0.110323E+08  -0.270427E+03   0.102685E+04   0.000000E+00   0.110606E+08   0.110606E+08   0.110606E+08  -0.272090E+00   0.578648E+07   0.578592E+07   0.865979E+01
   0.235652E-01   0.103435E+08   0.103060E+08  -0.185439E+03   0.738490E+03   0.000000E+00   0.103375E+08   0.103375E+08   0.103375E+08  -0.254298E+00   0.540815E+07   0.540759E+07   0.797718E+01
   0.260194E-01   0.960046E+07   0.955937E+07  -0.175911E+03   0.588619E+03   0.000000E+00   0.959386E+07   0.959386E+07   0.959386E+07  -0.236004E+00   0.501911E+07   0.501854E+07   0.730221E+01
   0.287291E-01   0.884767E+07   0.880356E+07  -0.979817E+02   0.430944E+03   0.000000E+00   0.884058E+07   0.884058E+07   0.884058E+07  -0.217472E+00   0.462502E+07   0.462445E+07   0.661390E+01
   0.317210E-01   0.809965E+07   0.805348E+07  -0.126146E+03   0.336849E+03   0.000000E+00   0.809223E+07   0.809223E+07   0.809223E+07  -0.199062E+00   0.423351E+07   0.423295E+07   0.589617E+01
   0.350245E-01   0.737435E+07   0.732753E+07  -0.670515E+02   0.252776E+03   0.000000E+00   0.736682E+07   0.736682E+07   0.736682E+07  -0.181218E+00   0.385400E+07   0.385346E+07   0.514036E+01
   0.386721E-01   0.669180E+07   0.664616E+07  -0.485441E+02   0.175940E+03   0.000000E+00   0.668446E+07   0.668446E+07   0.668446E+07  -0.164432E+00   0.349702E+07   0.349652E+07   0.434900E+01
   0.426995E-01   0.607126E+07   0.602889E+07  -0.434152E+02   0.134492E+03   0.000000E+00   0.606445E+07   0.606445E+07   0.606445E+07  -0.149180E+00   0.317265E+07   0.317220E+07   0.353954E+01
   0.469694E-01   0.554581E+07   0.550852E+07  -0.384585E+02   0.101777E+03   0.000000E+00   0.553981E+07   0.553981E+07   0.553981E+07  -0.136274E+00   0.289818E+07   0.289779E+07   0.277614E+01
   0.512394E-01   0.513007E+07   0.509869E+07  -0.308397E+02   0.804198E+02   0.000000E+00   0.512503E+07   0.512503E+07   0.512503E+07  -0.126071E+00   0.268117E+07   0.268084E+07   0.213056E+01
   0.555093E-01   0.479503E+07   0.476954E+07  -0.256248E+02   0.619581E+02   0.000000E+00   0.479093E+07   0.479093E+07   0.479093E+07  -0.117852E+00   0.250638E+07   0.250611E+07   0.161483E+01
   0.597792E-01   0.451319E+07   0.449287E+07  -0.153971E+02   0.527933E+02   0.000000E+00   0.450993E+07   0.450993E+07   0.450993E+07  -0.110939E+00   0.235937E+07   0.235915E+07   0.122983E+01
   0.640492E-01   0.426149E+07   0.424511E+07  -0.120077E+02   0.409728E+02   0.000000E+00   0.425886E+07   0.425886E+07   0.425886E+07  -0.104763E+00   0.222802E+07   0.222783E+07   0.965426E+00
   0.683191E-01   0.402318E+07   0.400928E+07  -0.104234E+02   0.362827E+02   0.000000E+00   0.402095E+07   0.402095E+07   0.402095E+07  -0.989099E-01   0.210355E+07   0.210339E+07   0.802737E+00
   0.725891E-01   0.378853E+07   0.377571E+07  -0.101482E+02   0.283340E+02   0.000000E+00   0.378647E+07   0.378647E+07   0.378647E+07  -0.931413E-01   0.198089E+07   0.198073E+07   0.717526E+00
   0.768590E-01   0.355430E+07   0.354138E+07  -0.719481E+01   0.252326E+02   0.000000E+00   0.355223E+07   0.355223E+07   0.355223E+07  -0.873782E-01   0.185834E+07   0.185818E+07   0.683805E+00
   0.811290E-01   0.332261E+07   0.330882E+07  -0.123908E+02   0.200354E+02   0.000000E+00   0.332039E+07   0.332039E+07   0.332039E+07  -0.816741E-01   0.173706E+07   0.173690E+07   0.677219E+00
   0.853989E-01   0.309893E+07   0.308395E+07  -0.379142E+01   0.175745E+02   0.000000E+00   0.309652E+07   0.309652E+07   0.309652E+07  -0.761656E-01   0.161995E+07   0.161977E+07   0.677600E+00
   0.896689E-01   0.288990E+07   0.287386E+07  -0.891631E+01   0.144710E+02   0.000000E+00   0.288733E+07   0.288733E+07   0.288733E+07  -0.710180E-01   0.151051E+07   0.151033E+07   0.670553E+00
   0.950018E-01   0.265842E+07   0.264166E+07  -0.522686E+01   0.122830E+02   0.000000E+00   0.265573E+07   0.265573E+07   0.265573E+07  -0.653185E-01   0.138935E+07   0.138917E+07   0.639573E+00
   0.100335E+00   0.246617E+07   0.244970E+07  -0.937410E+01   0.102899E+02   0.000000E+00   0.246352E+07   0.246352E+07   0.246352E+07  -0.605872E-01   0.128880E+07   0.128862E+07   0.581467E+00
