#    L    TT             EE             TE             PP             TP          
   228   0.579699E+04   0.113964E+01   0.288980E+02   0.223042E+07   0.170240E+04
   229   0.579133E+04   0.117903E+01   0.306076E+02   0.221981E+07   0.168850E+04
   230   0.578505E+04   0.122031E+01   0.323223E+02   0.220927E+07   0.167469E+04
   231   0.577814E+04   0.126350E+01   0.340412E+02   0.219882E+07   0.166098E+04
   232   0.577061E+04   0.130862E+01   0.357637E+02   0.218845E+07   0.164736E+04
   233   0.576245E+04   0.135572E+01   0.374889E+02   0.217815E+07   0.163382E+04
   234   0.575367E+04   0.140482E+01   0.392162E+02   0.216793E+07   0.162038E+04
   235   0.574428E+04   0.145594E+01   0.409449E+02   0.215779E+07   0.160704E+04
   236   0.573426E+04   0.150911E+01   0.426742E+02   0.214772E+07   0.159378E+04
   237   0.572365E+04   0.156435E+01   0.444034E+02   0.213773E+07   0.158061E+04
   238   0.571242E+04   0.162168E+01   0.461316E+02   0.212781E+07   0.156753E+04
   239   0.570059E+04   0.168112E+01   0.478582E+02   0.211797E+07   0.155454E+04
   240   0.568816E+04   0.174270E+01   0.495822E+02   0.210819E+07   0.154164E+04
   241   0.567512E+04   0.180644E+01   0.513032E+02   0.209849E+07   0.152883E+04
   242   0.566150E+04   0.187236E+01   0.530201E+02   0.208885E+07   0.151611E+04
   243   0.564730E+04   0.194047E+01   0.547323E+02   0.207929E+07   0.150348E+04
   244   0.563250E+04   0.201080E+01   0.564390E+02   0.206980E+07   0.149093E+04
   245   0.561714E+04   0.208336E+01   0.581396E+02   0.206037E+07   0.147847E+04
   246   0.560121E+04   0.215815E+01   0.598332E+02   0.205101E+07   0.146609E+04
   247   0.558471E+04   0.223521E+01   0.615192E+02   0.204171E+07   0.145381E+04
   248   0.556766E+04   0.231455E+01   0.631966E+02   0.203248E+07   0.144161E+04
   249   0.555006E+04   0.239617E+01   0.648649E+02   0.202332E+07   0.142949E+04
   250   0.553191E+04   0.248010E+01   0.665232E+02   0.201421E+07   0.141746E+04
   251   0.551322E+04   0.256632E+01   0.681706E+02   0.200517E+07   0.140551E+04
   252   0.549399E+04   0.265486E+01   0.698065E+02   0.199620E+07   0.139365E+04
   253   0.547421E+04   0.274571E+01   0.714300E+02   0.198728E+07   0.138187E+04
   254   0.545392E+04   0.283888E+01   0.730403E+02   0.197842E+07   0.137017E+04
   255   0.543308E+04   0.293437E+01   0.746366E+02   0.196963E+07   0.135856E+04
   256   0.541172E+04   0.303219E+01   0.762181E+02   0.196090E+07   0.134702E+04
