#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.212325E+00   0.960595E+06   0.955771E+06  -0.641148E+00   0.838906E+00   0.000000E+00   0.959820E+06   0.959820E+06   0.959820E+06  -0.236958E-01   0.502125E+06   0.502071E+06   0.840441E-01
   0.217658E+00   0.921299E+06   0.916357E+06  -0.327190E+00   0.803726E+00   0.000000E+00   0.920505E+06   0.920505E+06   0.920505E+06  -0.227260E-01   0.481558E+06   0.481504E+06   0.828388E-01
   0.222991E+00   0.885876E+06   0.880920E+06  -0.205270E+00   0.741307E+00   0.000000E+00   0.885079E+06   0.885079E+06   0.885079E+06  -0.218520E-01   0.463025E+06   0.462972E+06   0.801770E-01
   0.228324E+00   0.855023E+06   0.850184E+06  -0.128709E+00   0.653972E+00   0.000000E+00   0.854245E+06   0.854245E+06   0.854245E+06  -0.210911E-01   0.446895E+06   0.446843E+06   0.759491E-01
   0.233657E+00   0.828576E+06   0.823970E+06  -0.347303E+00   0.577132E+00   0.000000E+00   0.827836E+06   0.827836E+06   0.827836E+06  -0.204393E-01   0.433079E+06   0.433029E+06   0.705347E-01
   0.238990E+00   0.805660E+06   0.801360E+06  -0.501336E+00   0.537987E+00   0.000000E+00   0.804969E+06   0.804969E+06   0.804969E+06  -0.198749E-01   0.421116E+06   0.421069E+06   0.646022E-01
   0.244323E+00   0.784992E+06   0.781018E+06  -0.213522E+00   0.527887E+00   0.000000E+00   0.784353E+06   0.784353E+06   0.784353E+06  -0.193661E-01   0.410330E+06   0.410287E+06   0.588799E-01
   0.249656E+00   0.765253E+06   0.761569E+06  -0.200741E+00   0.514049E+00   0.000000E+00   0.764661E+06   0.764661E+06   0.764661E+06  -0.188800E-01   0.400028E+06   0.399988E+06   0.539589E-01
   0.254989E+00   0.745395E+06   0.741930E+06  -0.257820E+00   0.474997E+00   0.000000E+00   0.744838E+06   0.744838E+06   0.744838E+06  -0.183908E-01   0.389658E+06   0.389620E+06   0.501708E-01
   0.260321E+00   0.724846E+06   0.721512E+06  -0.140873E-01   0.420156E+00   0.000000E+00   0.724310E+06   0.724310E+06   0.724310E+06  -0.178841E-01   0.378919E+06   0.378882E+06   0.475533E-01
