a,z,phi_over_Mpl,a_effective,E,E_N,response_exponent,Omega_m,Omega_r,Omega_R,w_R,alpha_B,alpha_K,D,F_s,sound_numerator,Q_s_over_Mpl2,c_s2,A_hat,B_hat,C_hat,V_hat,c_T2,dL_GW_over_dL_EM
1.2991720438705616e-08,76972098.63206625,-18.158953571715376,1.2991720438705616e-08,56469329977495.516,-112937414257648.52,5.196688175482246e-10,4.411943060037346e-05,0.9999558805693994,2.1682525564684834e-28,-1.0000000051386135,7.227508521561612e-29,2.1682365905068274e-28,2.1682365905068274e-28,1.0841182952534137e-28,2.1682365905068274e-28,1.0841182952534137e-28,1.0,-1.4455017377377563e-28,1.133254886229344e-55,2.2665397650037256e-56,1.670906775159426,1.0,1.0
1.3101871429774522e-08,76324973.28783038,-18.150510759707732,1.3101871429774522e-08,55523825755700.05,-111046416287204.44,5.240748571909809e-10,4.449348289002751e-05,0.9999555065171097,2.2427267927346536e-28,-1.000000005179232,7.475755975782178e-29,2.242710138382419e-28,2.242710138382419e-28,1.1213550691912095e-28,2.242710138382419e-28,1.1213550691912095e-28,1.0,-1.4951512300032393e-28,1.2124408490934418e-55,2.4249140585130205e-56,1.6709067861888287,1.0,1.0
1.3212956341865723e-08,75683288.5020976,-18.142067947700088,1.3212956341865723e-08,54594152837771.08,-109187080836442.8,5.285182536746289e-10,4.487070631845476e-05,0.9999551292936815,2.319759031713374e-28,-1.0000000052201696,7.732530105711247e-29,2.3197416592899292e-28,2.3197416592899292e-28,1.1598708296449646e-28,2.3197416592899292e-28,1.1598708296449646e-28,1.0,-1.5465060574708555e-28,1.2971599061185533e-55,2.5943547272700396e-56,1.6709067973115896,1.0,1.0
1.3324983093278156e-08,75046998.53461511,-18.133625135692444,1.3324983093278156e-08,53680046147292.78,-107358877753272.12,5.329993237311263e-10,4.5251127767497636e-05,0.9999547488722321,2.3994371340473177e-28,-1.000000005261429,7.998123780157726e-29,2.399419012592326e-28,2.399419012592326e-28,1.199709506296163e-28,2.399419012592326e-28,1.199709506296163e-28,1.0,-1.599624793904949e-28,1.3877986797658826e-55,2.77563503095411e-56,1.6709068085284997,1.0,1.0
1.343795966944653e-08,74416058.02968058,-18.125182323684797,1.343795966944653e-08,52781245046245.3,-105561285762386.88,5.375183867778612e-10,4.563477434683582e-05,0.9999543652256533,2.4818519781467467e-28,-1.0000000053030131,8.272839927155822e-29,2.4818330753649953e-28,2.4818330753649953e-28,1.2409165376824977e-28,2.4818330753649953e-28,1.2409165376824977e-28,1.0,-1.6545680249150425e-28,1.4847708075079943e-55,2.9695822604322574e-56,1.670906819840354,1.0,1.0
1.355189412351034e-08,73790422.0129102,-18.116739511677153,1.355189412351034e-08,51897493260690.66,-103793792316638.84,5.420757649404136e-10,4.6021673395915566e-05,0.999953978326604,2.5670975638406386e-28,-1.0000000053449238,8.556991879468796e-29,2.5670778460444795e-28,2.5670778460444795e-28,1.2835389230222397e-28,2.5670778460444795e-28,1.2835389230222397e-28,1.0,-1.7113984170565816e-28,1.588518829481577e-55,3.177081513156725e-56,1.6709068312479576,1.0,1.0
1.366679457688819e-08,73170045.88803124,-18.10829669966951,1.366679457688819e-08,51028538807698.78,-102055893450889.7,5.466717830755276e-10,4.641185248589778e-05,0.9999535881475141,2.655271119588296e-28,-1.0000000053871643,8.850903731960986e-29,2.6552505516376136e-28,2.6552505516376136e-28,1.3276252758188068e-28,2.6552505516376136e-28,1.3276252758188068e-28,1.0,-1.7701807893053418e-28,1.6995162080386084e-55,3.3990797323665143e-56,1.6709068427521205,1.0,1.0
1.3782669219856572e-08,72554885.4337039,-18.09985388766186,1.3782669219856572e-08,50174133923500.766,-100347093638317.25,5.513067687942629e-10,4.680533942162033e-05,0.9999531946605781,2.7464732133729775e-28,-1.0000000054297367,9.154910711243259e-29,2.746451758612564e-28,2.746451758612564e-28,1.373225879306282e-28,2.746451758612564e-28,1.373225879306282e-28,1.0,-1.8309821869865319e-28,1.8182694884112454e-55,3.6365900285242436e-56,1.6709068543536596,1.0,1.0
1.3899526312133519e-08,71944896.80037002,-18.091411075654218,1.3899526312133519e-08,49334034992844.875,-98666905649127.8,5.559810524853408e-10,4.720216224357757e-05,0.9999527978377563,2.84080786740436e-28,-1.0000000054726437,9.469359558014534e-29,2.8407854875985913e-28,2.8407854875985913e-28,1.4203927437992956e-28,2.8407854875985913e-28,1.4203927437992956e-28,1.0,-1.8938719582430966e-28,1.9453206103509947e-55,3.8906963027099893e-56,1.6709068660533997,1.0,1.0
1.4017374183467671e-08,71340036.50712577,-18.082968263646574,1.4017374183467671e-08,48508002479532.266,-97014850411627.3,5.606949673387068e-10,4.760234922991772e-05,0.99995239765077,2.9383826767610134e-28,-1.000000005515888,9.794608922536712e-29,2.938359332025709e-28,2.938359332025709e-28,1.4691796660128543e-28,2.938359332025709e-28,1.4691796660128545e-28,1.0,-1.9589218331307085e-28,2.081249381291793e-55,4.162558193072103e-56,1.6709068778521712,1.0,1.0
