a,w_R,alpha_K,alpha_B_BelliniSawicki,RPH_alpha_B_EFTCAMB
1.453868923357765769e-03,-1.001858679448969669e+00,5.078021825520960800e-09,1.972433471926886147e-09,-9.862167359634430733e-10
1.552548420227611121e-03,-1.001959242654605120e+00,6.241655963884629505e-09,2.429291745723977229e-09,-1.214645872861988614e-09
1.655595005467865900e-03,-1.002062601563368238e+00,7.634373400530264775e-09,2.977014075646105293e-09,-1.488507037823052647e-09
1.763103235225774645e-03,-1.002168745021660090e+00,9.294349680186786983e-09,3.630887446771743689e-09,-1.815443723385871844e-09
1.875167665648584496e-03,-1.002277660379522040e+00,1.126504577455292500e-08,4.408334641244716370e-09,-2.204167320622358185e-09
1.991882852883539775e-03,-1.002389333525343096e+00,1.359580114301109485e-08,5.329156253174907244e-09,-2.664578126587453622e-09
2.113343353077887839e-03,-1.002503748918405213e+00,1.634247884099579125e-08,6.415794234010334827e-09,-3.207897117005167413e-09
2.239643722378871927e-03,-1.002620889619509681e+00,1.956816605631541256e-08,7.693618400439811992e-09,-3.846809200219905996e-09
2.370878516933738744e-03,-1.002740737319896880e+00,2.334393360194952818e-08,9.191237402764190067e-09,-4.595618701382095033e-09
2.507142292889735866e-03,-1.002863272368646808e+00,2.774965804583522968e-08,1.094083571941395618e-08,-5.470417859706978088e-09
2.648529606394105663e-03,-1.002988473798713587e+00,3.287491031397195183e-08,1.297853831291899781e-08,-6.489269156459498905e-09
2.795135013594097009e-03,-1.003116319351731178e+00,3.881991476286523402e-08,1.534480465417685597e-08,-7.672402327088427987e-09
2.947053070636952276e-03,-1.003246785501709093e+00,4.569658288094916019e-08,1.808485389534252736e-08,-9.042426947671263681e-09
3.104378333669919037e-03,-1.003379847477715581e+00,5.362962594624094075e-08,2.124912304710448825e-08,-1.062456152355224413e-08
3.267205358840244000e-03,-1.003515479285638667e+00,6.275775113913416983e-08,2.489376009353622447e-08,-1.244688004676811224e-08
3.435628702295169534e-03,-1.003653653729098538e+00,7.323494578500615985e-08,2.908115405715032568e-08,-1.454057702857516284e-08
3.609742920181944949e-03,-1.003794342429576991e+00,8.523185458125143042e-08,3.388050410825244996e-08,-1.694025205412622498e-08
3.789642568647812616e-03,-1.003937515845824358e+00,9.893725484752379228e-08,3.936842989621762923e-08,-1.968421494810881462e-08
3.975422203840021408e-03,-1.004083143292591185e+00,1.145596350264487900e-07,4.562962536591810272e-08,-2.281481268295905136e-08
