#    L    TT             EE             BB             TE          
   242   0.565042E+04   0.191167E+01   0.197774E-01   0.529197E+02
   243   0.563614E+04   0.198010E+01   0.199423E-01   0.546199E+02
   244   0.562128E+04   0.205074E+01   0.201072E-01   0.563145E+02
   245   0.560585E+04   0.212359E+01   0.202721E-01   0.580027E+02
   246   0.558987E+04   0.219867E+01   0.204369E-01   0.596838E+02
   247   0.557331E+04   0.227599E+01   0.206017E-01   0.613571E+02
   248   0.555621E+04   0.235558E+01   0.207665E-01   0.630216E+02
   249   0.553856E+04   0.243743E+01   0.209311E-01   0.646768E+02
   250   0.552038E+04   0.252157E+01   0.210957E-01   0.663219E+02
   251   0.550165E+04   0.260800E+01   0.212601E-01   0.679559E+02
   252   0.548238E+04   0.269671E+01   0.214243E-01   0.695782E+02
   253   0.546258E+04   0.278773E+01   0.215884E-01   0.711879E+02
   254   0.544226E+04   0.288105E+01   0.217523E-01   0.727843E+02
   255   0.542140E+04   0.297666E+01   0.219160E-01   0.743665E+02
   256   0.540002E+04   0.307459E+01   0.220794E-01   0.759339E+02
   257   0.537814E+04   0.317482E+01   0.222426E-01   0.774857E+02
   258   0.535575E+04   0.327734E+01   0.224055E-01   0.790211E+02
   259   0.533288E+04   0.338218E+01   0.225681E-01   0.805404E+02
   260   0.530954E+04   0.348931E+01   0.227304E-01   0.820414E+02
   261   0.528574E+04   0.359873E+01   0.228924E-01   0.835249E+02
   262   0.526150E+04   0.371045E+01   0.230540E-01   0.849893E+02
   263   0.523682E+04   0.382445E+01   0.232152E-01   0.864347E+02
   264   0.521171E+04   0.394074E+01   0.233761E-01   0.878597E+02
   265   0.518618E+04   0.405928E+01   0.235366E-01   0.892649E+02
   266   0.516023E+04   0.418008E+01   0.236966E-01   0.906481E+02
   267   0.513387E+04   0.430311E+01   0.238562E-01   0.920086E+02
   268   0.510711E+04   0.442837E+01   0.240154E-01   0.933472E+02
   269   0.507995E+04   0.455583E+01   0.241741E-01   0.946616E+02
   270   0.505240E+04   0.468549E+01   0.243323E-01   0.959526E+02
   271   0.502447E+04   0.481732E+01   0.244901E-01   0.972179E+02
   272   0.499617E+04   0.495132E+01   0.246473E-01   0.984583E+02
   273   0.496751E+04   0.508743E+01   0.248040E-01   0.996724E+02
   274   0.493850E+04   0.522566E+01   0.249602E-01   0.100861E+03
   275   0.490915E+04   0.536598E+01   0.251159E-01   0.102021E+03
   276   0.487947E+04   0.550837E+01   0.252710E-01   0.103155E+03
   277   0.484949E+04   0.565280E+01   0.254255E-01   0.104260E+03
   278   0.481919E+04   0.579925E+01   0.255795E-01   0.105336E+03
   279   0.478859E+04   0.594768E+01   0.257329E-01   0.106383E+03
   280   0.475772E+04   0.609805E+01   0.258857E-01   0.107400E+03
   281   0.472656E+04   0.625036E+01   0.260379E-01   0.108387E+03
   282   0.469515E+04   0.640454E+01   0.261894E-01   0.109343E+03
   283   0.466348E+04   0.656059E+01   0.263404E-01   0.110268E+03
   284   0.463156E+04   0.671845E+01   0.264907E-01   0.111160E+03
   285   0.459941E+04   0.687811E+01   0.266404E-01   0.112021E+03
   286   0.456704E+04   0.703951E+01   0.267895E-01   0.112849E+03
   287   0.453446E+04   0.720262E+01   0.269378E-01   0.113644E+03
   288   0.450168E+04   0.736740E+01   0.270856E-01   0.114405E+03
   289   0.446870E+04   0.753381E+01   0.272327E-01   0.115133E+03
   290   0.443555E+04   0.770180E+01   0.273791E-01   0.115825E+03
   291   0.440224E+04   0.787136E+01   0.275248E-01   0.116484E+03
   292   0.436876E+04   0.804234E+01   0.276698E-01   0.117107E+03
   293   0.433513E+04   0.821482E+01   0.278142E-01   0.117695E+03
   294   0.430137E+04   0.838873E+01   0.279579E-01   0.118247E+03
   295   0.426747E+04   0.856390E+01   0.281008E-01   0.118762E+03
   296   0.423345E+04   0.874042E+01   0.282431E-01   0.119241E+03
   297   0.419932E+04   0.891813E+01   0.283847E-01   0.119682E+03
   298   0.416509E+04   0.909703E+01   0.285256E-01   0.120086E+03
   299   0.413077E+04   0.927705E+01   0.286657E-01   0.120453E+03
   300   0.409637E+04   0.945810E+01   0.288052E-01   0.120781E+03
   301   0.406191E+04   0.964026E+01   0.289439E-01   0.121071E+03
   302   0.402739E+04   0.982331E+01   0.290819E-01   0.121324E+03
   303   0.399284E+04   0.100073E+02   0.292192E-01   0.121538E+03
   304   0.395825E+04   0.101922E+02   0.293558E-01   0.121715E+03
   305   0.392365E+04   0.103779E+02   0.294916E-01   0.121853E+03
   306   0.388904E+04   0.105644E+02   0.296267E-01   0.121952E+03
   307   0.385444E+04   0.107515E+02   0.297611E-01   0.122013E+03
   308   0.381985E+04   0.109393E+02   0.298948E-01   0.122035E+03
   309   0.378529E+04   0.111277E+02   0.300277E-01   0.122019E+03
   310   0.375075E+04   0.113165E+02   0.301600E-01   0.121965E+03
   311   0.371626E+04   0.115058E+02   0.302915E-01   0.121870E+03
   312   0.368182E+04   0.116954E+02   0.304222E-01   0.121737E+03
   313   0.364745E+04   0.118854E+02   0.305523E-01   0.121565E+03
   314   0.361315E+04   0.120756E+02   0.306817E-01   0.121354E+03
   315   0.357893E+04   0.122659E+02   0.308103E-01   0.121104E+03
   316   0.354481E+04   0.124564E+02   0.309382E-01   0.120816E+03
   317   0.351079E+04   0.126468E+02   0.310654E-01   0.120488E+03
   318   0.347689E+04   0.128373E+02   0.311919E-01   0.120122E+03
   319   0.344312E+04   0.130276E+02   0.313178E-01   0.119717E+03
   320   0.340947E+04   0.132178E+02   0.314429E-01   0.119274E+03
   321   0.337597E+04   0.134077E+02   0.315673E-01   0.118793E+03
   322   0.334262E+04   0.135973E+02   0.316911E-01   0.118273E+03
   323   0.330944E+04   0.137865E+02   0.318142E-01   0.117715E+03
   324   0.327643E+04   0.139753E+02   0.319366E-01   0.117120E+03
   325   0.324360E+04   0.141635E+02   0.320584E-01   0.116487E+03
   326   0.321096E+04   0.143511E+02   0.321795E-01   0.115817E+03
   327   0.317852E+04   0.145381E+02   0.323000E-01   0.115109E+03
   328   0.314629E+04   0.147242E+02   0.324199E-01   0.114364E+03
   329   0.311427E+04   0.149096E+02   0.325391E-01   0.113583E+03
   330   0.308249E+04   0.150940E+02   0.326578E-01   0.112765E+03
   331   0.305094E+04   0.152775E+02   0.327758E-01   0.111911E+03
   332   0.301963E+04   0.154600E+02   0.328933E-01   0.111021E+03
   333   0.298857E+04   0.156413E+02   0.330102E-01   0.110096E+03
   334   0.295776E+04   0.158214E+02   0.331266E-01   0.109135E+03
   335   0.292724E+04   0.160002E+02   0.332424E-01   0.108140E+03
   336   0.289698E+04   0.161777E+02   0.333578E-01   0.107111E+03
   337   0.286702E+04   0.163538E+02   0.334726E-01   0.106048E+03
   338   0.283734E+04   0.165284E+02   0.335869E-01   0.104951E+03
   339   0.280796E+04   0.167015E+02   0.337008E-01   0.103822E+03
   340   0.277890E+04   0.168731E+02   0.338142E-01   0.102661E+03
   341   0.275015E+04   0.170429E+02   0.339271E-01   0.101468E+03
   342   0.272171E+04   0.172109E+02   0.340397E-01   0.100242E+03
   343   0.269361E+04   0.173770E+02   0.341518E-01   0.989857E+02
   344   0.266583E+04   0.175412E+02   0.342636E-01   0.976980E+02
   345   0.263838E+04   0.177034E+02   0.343750E-01   0.963795E+02
   346   0.261127E+04   0.178634E+02   0.344861E-01   0.950305E+02
   347   0.258451E+04   0.180213E+02   0.345969E-01   0.936516E+02
   348   0.255809E+04   0.181768E+02   0.347073E-01   0.922429E+02
   349   0.253204E+04   0.183301E+02   0.348175E-01   0.908066E+02
   350   0.250635E+04   0.184811E+02   0.349274E-01   0.893421E+02
   351   0.248103E+04   0.186296E+02   0.350371E-01   0.878507E+02
   352   0.245610E+04   0.187758E+02   0.351466E-01   0.863334E+02
   353   0.243156E+04   0.189194E+02   0.352559E-01   0.847901E+02
   354   0.240740E+04   0.190605E+02   0.353650E-01   0.832230E+02
   355   0.238365E+04   0.191989E+02   0.354739E-01   0.816316E+02
   356   0.236030E+04   0.193347E+02   0.355828E-01   0.800164E+02
   357   0.233736E+04   0.194678E+02   0.356915E-01   0.783784E+02
   358   0.231482E+04   0.195981E+02   0.358002E-01   0.767182E+02
   359   0.229270E+04   0.197254E+02   0.359087E-01   0.750359E+02
   360   0.227099E+04   0.198497E+02   0.360173E-01   0.733330E+02
   361   0.224970E+04   0.199711E+02   0.361258E-01   0.716085E+02
